bound,length,time(ms),swaps,jumps,partsSorted?
5.0, 10.0, 0.0093, 3.0, 36.0, absolutelyRandom
5.0, 30.0, 0.0725, 21.0, 258.0, absolutelyRandom
5.0, 50.0, 0.027599, 33.0, 523.0, absolutelyRandom
5.0, 70.0, 0.0416, 52.0, 731.0, absolutelyRandom
5.0, 90.0, 0.0517, 61.0, 1026.0, absolutelyRandom
5.0, 110.0, 0.073401, 85.0, 1462.0, absolutelyRandom
5.0, 330.0, 0.2971, 261.0, 5980.0, absolutelyRandom
5.0, 550.0, 0.5598, 420.0, 11038.0, absolutelyRandom
5.0, 770.0, 0.7485, 607.0, 16199.0, absolutelyRandom
5.0, 990.0, 1.0998, 804.0, 22785.0, absolutelyRandom
5.0, 1210.0, 0.7886, 982.0, 29060.0, absolutelyRandom
5.0, 3630.0, 0.8237, 2867.0, 101565.0, absolutelyRandom
5.0, 6050.0, 5.729701, 4740.0, 181326.0, absolutelyRandom
5.0, 8066.0, 13.814901, 6382.0, 265909.0, absolutelyRandom
5.0, 10082.0, 1.6576, 7990.0, 342429.0, absolutelyRandom
5.0, 30246.0, 4.692101, 23837.0, 1178392.0, absolutelyRandom
5.0, 50410.0, 8.7361, 40010.0, 2064733.0, absolutelyRandom
5.0, 70574.0, 13.206101, 56034.0, 2890609.0, absolutelyRandom
5.0, 90738.0, 17.2139, 72036.0, 3807205.0, absolutelyRandom
5.0, 110902.0, 21.386401, 87696.0, 4764109.0, absolutelyRandom
5.0, 332706.0, 73.3907, 263925.0, 1.5955665E7, absolutelyRandom
5.0, 554510.0, 131.741799, 438497.0, 2.825621E7, absolutelyRandom
5.0, 776314.0, 198.3445, 614641.0, 4.1111272E7, absolutelyRandom
5.0, 998118.0, 259.1942, 791244.0, 5.2857318E7, absolutelyRandom
10.0, 10.0, 9.99E-4, 8.0, 36.0, absolutelyRandom
10.0, 30.0, 0.002599, 29.0, 258.0, absolutelyRandom
10.0, 50.0, 0.004401, 50.0, 523.0, absolutelyRandom
10.0, 70.0, 0.006, 74.0, 800.0, absolutelyRandom
10.0, 90.0, 0.008101, 101.0, 1115.0, absolutelyRandom
10.0, 110.0, 0.0102, 119.0, 1353.0, absolutelyRandom
10.0, 330.0, 0.0375, 415.0, 5980.0, absolutelyRandom
10.0, 550.0, 0.0641, 640.0, 10489.0, absolutelyRandom
10.0, 770.0, 0.099101, 956.0, 16968.0, absolutelyRandom
10.0, 990.0, 0.163801, 1208.0, 21796.0, absolutelyRandom
10.0, 1210.0, 0.1601, 1503.0, 27851.0, absolutelyRandom
10.0, 3630.0, 0.5578, 4484.0, 105194.0, absolutelyRandom
10.0, 6050.0, 0.9744, 7369.0, 187375.0, absolutelyRandom
10.0, 8066.0, 1.3417, 9742.0, 265909.0, absolutelyRandom
10.0, 10082.0, 1.7111, 12277.0, 342429.0, absolutelyRandom
10.0, 30246.0, 5.6577, 37079.0, 1178392.0, absolutelyRandom
10.0, 50410.0, 9.8147, 62100.0, 2064733.0, absolutelyRandom
10.0, 70574.0, 14.0954, 86844.0, 2961182.0, absolutelyRandom
10.0, 90738.0, 18.387801, 111746.0, 3897942.0, absolutelyRandom
10.0, 110902.0, 22.820499, 136381.0, 4875010.0, absolutelyRandom
10.0, 332706.0, 74.511499, 409028.0, 1.628837E7, absolutelyRandom
10.0, 554510.0, 136.8744, 681491.0, 2.8810719E7, absolutelyRandom
10.0, 776314.0, 191.538601, 953562.0, 4.1111272E7, absolutelyRandom
10.0, 998118.0, 256.1479, 1225510.0, 5.3855435E7, absolutelyRandom
100.0, 10.0, 0.0016, 18.0, 54.0, absolutelyRandom
100.0, 30.0, 0.002401, 53.0, 258.0, absolutelyRandom
100.0, 50.0, 0.004399, 94.0, 523.0, absolutelyRandom
100.0, 70.0, 0.005899, 136.0, 800.0, absolutelyRandom
100.0, 90.0, 0.0082, 195.0, 1115.0, absolutelyRandom
100.0, 110.0, 0.010999, 247.0, 1571.0, absolutelyRandom
100.0, 330.0, 0.0401, 884.0, 5980.0, absolutelyRandom
100.0, 550.0, 0.0731, 1469.0, 11587.0, absolutelyRandom
100.0, 770.0, 0.107, 2151.0, 16968.0, absolutelyRandom
100.0, 990.0, 0.187901, 2822.0, 22785.0, absolutelyRandom
100.0, 1210.0, 0.181101, 3460.0, 29060.0, absolutelyRandom
100.0, 3630.0, 0.6115, 10368.0, 105194.0, absolutelyRandom
100.0, 6050.0, 1.077101, 17537.0, 187375.0, absolutelyRandom
100.0, 8066.0, 1.549701, 23164.0, 265909.0, absolutelyRandom
100.0, 10082.0, 1.914199, 29089.0, 342429.0, absolutelyRandom
100.0, 30246.0, 6.2809, 87336.0, 1178392.0, absolutelyRandom
100.0, 50410.0, 10.8635, 146181.0, 2064733.0, absolutelyRandom
100.0, 70574.0, 17.412701, 205663.0, 3031755.0, absolutelyRandom
100.0, 90738.0, 20.1204, 263280.0, 3897942.0, absolutelyRandom
100.0, 110902.0, 25.519899, 322781.0, 4985911.0, absolutelyRandom
