bound,length,time(ms),swaps,jumps,partsSorted?
5.0, 10.0, 0.012999, 3.0, 36.0, absolutelyRandom
5.0, 30.0, 0.0363, 21.0, 258.0, absolutelyRandom
5.0, 50.0, 0.0655, 33.0, 523.0, absolutelyRandom
5.0, 70.0, 0.1039, 52.0, 731.0, absolutelyRandom
5.0, 90.0, 0.140799, 61.0, 1026.0, absolutelyRandom
5.0, 110.0, 0.168601, 85.0, 1462.0, absolutelyRandom
5.0, 330.0, 0.6515, 261.0, 5980.0, absolutelyRandom
5.0, 550.0, 1.1528, 420.0, 11038.0, absolutelyRandom
5.0, 770.0, 1.704599, 607.0, 16199.0, absolutelyRandom
5.0, 990.0, 2.470399, 804.0, 22785.0, absolutelyRandom
5.0, 1210.0, 1.495099, 982.0, 29060.0, absolutelyRandom
5.0, 3630.0, 1.471001, 2867.0, 101565.0, absolutelyRandom
5.0, 6050.0, 2.6112, 4740.0, 181326.0, absolutelyRandom
5.0, 8066.0, 3.815, 6382.0, 265909.0, absolutelyRandom
5.0, 10082.0, 2.0335, 7990.0, 342429.0, absolutelyRandom
5.0, 30246.0, 5.7142, 23837.0, 1178392.0, absolutelyRandom
5.0, 50410.0, 9.4866, 40010.0, 2064733.0, absolutelyRandom
5.0, 70574.0, 13.3298, 56034.0, 2890609.0, absolutelyRandom
5.0, 90738.0, 17.7647, 72036.0, 3807205.0, absolutelyRandom
5.0, 110902.0, 21.542001, 87696.0, 4764109.0, absolutelyRandom
5.0, 332706.0, 70.2413, 263925.0, 1.5955665E7, absolutelyRandom
5.0, 554510.0, 123.8138, 438497.0, 2.825621E7, absolutelyRandom
5.0, 776314.0, 178.8539, 614641.0, 4.1111272E7, absolutelyRandom
5.0, 998118.0, 229.3543, 791244.0, 5.2857318E7, absolutelyRandom
10.0, 10.0, 8.0E-4, 8.0, 36.0, absolutelyRandom
10.0, 30.0, 0.002999, 29.0, 258.0, absolutelyRandom
10.0, 50.0, 0.0048, 50.0, 523.0, absolutelyRandom
10.0, 70.0, 0.006499, 74.0, 800.0, absolutelyRandom
10.0, 90.0, 0.009001, 101.0, 1115.0, absolutelyRandom
10.0, 110.0, 0.010299, 119.0, 1353.0, absolutelyRandom
10.0, 330.0, 0.0404, 415.0, 5980.0, absolutelyRandom
10.0, 550.0, 0.0716, 640.0, 10489.0, absolutelyRandom
10.0, 770.0, 0.1102, 956.0, 16968.0, absolutelyRandom
10.0, 990.0, 0.135901, 1208.0, 21796.0, absolutelyRandom
10.0, 1210.0, 0.1696, 1503.0, 27851.0, absolutelyRandom
10.0, 3630.0, 0.586299, 4484.0, 105194.0, absolutelyRandom
10.0, 6050.0, 1.003499, 7369.0, 187375.0, absolutelyRandom
10.0, 8066.0, 1.3993, 9742.0, 265909.0, absolutelyRandom
10.0, 10082.0, 1.7969, 12277.0, 342429.0, absolutelyRandom
10.0, 30246.0, 5.850599, 37079.0, 1178392.0, absolutelyRandom
10.0, 50410.0, 10.081801, 62100.0, 2064733.0, absolutelyRandom
10.0, 70574.0, 14.268501, 86844.0, 2961182.0, absolutelyRandom
10.0, 90738.0, 18.6722, 111746.0, 3897942.0, absolutelyRandom
10.0, 110902.0, 23.1476, 136381.0, 4875010.0, absolutelyRandom
10.0, 332706.0, 75.697499, 409028.0, 1.628837E7, absolutelyRandom
10.0, 554510.0, 133.8832, 681491.0, 2.8810719E7, absolutelyRandom
10.0, 776314.0, 188.5571, 953562.0, 4.1111272E7, absolutelyRandom
10.0, 998118.0, 245.1425, 1225510.0, 5.3855435E7, absolutelyRandom
100.0, 10.0, 0.0013, 18.0, 54.0, absolutelyRandom
100.0, 30.0, 0.0024, 53.0, 258.0, absolutelyRandom
100.0, 50.0, 0.0042, 94.0, 523.0, absolutelyRandom
100.0, 70.0, 0.0063, 136.0, 800.0, absolutelyRandom
100.0, 90.0, 0.008499, 195.0, 1115.0, absolutelyRandom
100.0, 110.0, 0.013099, 247.0, 1571.0, absolutelyRandom
100.0, 330.0, 0.043201, 884.0, 5980.0, absolutelyRandom
100.0, 550.0, 0.0787, 1469.0, 11587.0, absolutelyRandom
100.0, 770.0, 0.1164, 2151.0, 16968.0, absolutelyRandom
100.0, 990.0, 0.1548, 2822.0, 22785.0, absolutelyRandom
100.0, 1210.0, 0.1931, 3460.0, 29060.0, absolutelyRandom
100.0, 3630.0, 0.656001, 10368.0, 105194.0, absolutelyRandom
100.0, 6050.0, 1.159799, 17537.0, 187375.0, absolutelyRandom
100.0, 8066.0, 1.595599, 23164.0, 265909.0, absolutelyRandom
100.0, 10082.0, 2.0351, 29089.0, 342429.0, absolutelyRandom
100.0, 30246.0, 6.667101, 87336.0, 1178392.0, absolutelyRandom
100.0, 50410.0, 11.4447, 146181.0, 2064733.0, absolutelyRandom
100.0, 70574.0, 16.5125, 205663.0, 3031755.0, absolutelyRandom
100.0, 90738.0, 21.3107, 263280.0, 3897942.0, absolutelyRandom
100.0, 110902.0, 27.4696, 322781.0, 4985911.0, absolutelyRandom
100.0, 332706.0, 85.2744, 968354.0, 1.628837E7, absolutelyRandom
100.0, 554510.0, 149.2677, 1615718.0, 2.8810719E7, absolutelyRandom
100.0, 776314.0, 211.6445, 2257990.0, 4.1111272E7, absolutelyRandom
100.0, 998118.0, 273.7788, 2903981.0, 5.3855435E7, absolutelyRandom
1000.0, 10.0, 0.001099, 12.0, 45.0, absolutelyRandom
1000.0, 30.0, 0.002299, 44.0, 258.0, absolutelyRandom
1000.0, 50.0, 0.004199, 104.0, 523.0, absolutelyRandom
1000.0, 70.0, 0.006999, 158.0, 800.0, absolutelyRandom
1000.0, 90.0, 0.0096, 228.0, 1115.0, absolutelyRandom
1000.0, 110.0, 0.0105, 311.0, 1462.0, absolutelyRandom
1000.0, 330.0, 0.0405, 1152.0, 5980.0, absolutelyRandom
1000.0, 550.0, 0.0754, 2011.0, 11587.0, absolutelyRandom
1000.0, 770.0, 0.1128, 2893.0, 17737.0, absolutelyRandom
1000.0, 990.0, 0.1518, 3888.0, 22785.0, absolutelyRandom
1000.0, 1210.0, 0.196499, 4886.0, 30269.0, absolutelyRandom
1000.0, 3630.0, 0.7338, 16155.0, 108823.0, absolutelyRandom
1000.0, 6050.0, 1.3719, 27597.0, 193424.0, absolutelyRandom
1000.0, 8066.0, 1.821699, 36687.0, 265909.0, absolutelyRandom
1000.0, 10082.0, 2.348399, 46226.0, 352510.0, absolutelyRandom
1000.0, 30246.0, 8.8239, 140956.0, 1208637.0, absolutelyRandom
1000.0, 50410.0, 16.161001, 235689.0, 2064733.0, absolutelyRandom
1000.0, 70574.0, 24.2106, 331969.0, 3031755.0, absolutelyRandom
1000.0, 90738.0, 31.1571, 425036.0, 3988679.0, absolutelyRandom
