bound,length,time(ms),swaps,jumps,partsSorted?,array
2.0, 2.0, 0.0055, 0.0, 1.0, product, 11
2.0, 2.0, 0.0031, 0.0, 1.0, product, 12
2.0, 2.0, 0.0037, 1.0, 2.0, product, 21
2.0, 2.0, 0.0017, 0.0, 1.0, product, 22
3.0, 3.0, 0.0024, 0.0, 3.0, product, 111
3.0, 3.0, 0.0038, 0.0, 3.0, product, 112
3.0, 3.0, 0.0028, 0.0, 3.0, product, 113
3.0, 3.0, 0.0031, 1.0, 5.0, product, 121
3.0, 3.0, 0.0023, 0.0, 3.0, product, 122
3.0, 3.0, 0.0023, 0.0, 3.0, product, 123
3.0, 3.0, 0.0026, 1.0, 5.0, product, 131
3.0, 3.0, 0.0022, 1.0, 5.0, product, 132
3.0, 3.0, 0.002, 0.0, 3.0, product, 133
3.0, 3.0, 0.0022, 1.0, 3.0, product, 211
3.0, 3.0, 0.0026, 1.0, 5.0, product, 212
3.0, 3.0, 0.0027, 1.0, 5.0, product, 213
3.0, 3.0, 0.0035, 1.0, 3.0, product, 221
3.0, 3.0, 0.0032, 0.0, 3.0, product, 222
3.0, 3.0, 0.0028, 0.0, 3.0, product, 223
3.0, 3.0, 0.0034, 2.0, 5.0, product, 231
3.0, 3.0, 0.0027, 1.0, 5.0, product, 232
3.0, 3.0, 0.0023, 0.0, 3.0, product, 233
3.0, 3.0, 0.0031, 1.0, 3.0, product, 311
3.0, 3.0, 0.0027, 2.0, 5.0, product, 312
3.0, 3.0, 0.0026, 1.0, 5.0, product, 313
3.0, 3.0, 0.0022, 1.0, 3.0, product, 321
3.0, 3.0, 0.0032, 1.0, 3.0, product, 322
3.0, 3.0, 0.0025, 1.0, 5.0, product, 323
3.0, 3.0, 0.0022, 1.0, 3.0, product, 331
3.0, 3.0, 0.0022, 1.0, 3.0, product, 332
3.0, 3.0, 0.0017, 0.0, 3.0, product, 333
4.0, 4.0, 0.0028, 0.0, 6.0, product, 1111
4.0, 4.0, 0.0029, 0.0, 6.0, product, 1112
4.0, 4.0, 0.0026, 0.0, 6.0, product, 1113
4.0, 4.0, 0.0033, 0.0, 6.0, product, 1114
4.0, 4.0, 0.0036, 1.0, 9.0, product, 1121
4.0, 4.0, 0.0022, 0.0, 6.0, product, 1122
4.0, 4.0, 0.0022, 0.0, 6.0, product, 1123
4.0, 4.0, 0.0028, 0.0, 6.0, product, 1124
4.0, 4.0, 0.0034, 1.0, 9.0, product, 1131
4.0, 4.0, 0.0037, 1.0, 9.0, product, 1132
4.0, 4.0, 0.0024, 0.0, 6.0, product, 1133
4.0, 4.0, 0.0027, 0.0, 6.0, product, 1134
4.0, 4.0, 0.0033, 1.0, 9.0, product, 1141
4.0, 4.0, 0.0038, 1.0, 9.0, product, 1142
4.0, 4.0, 0.0034, 1.0, 9.0, product, 1143
4.0, 4.0, 0.0024, 0.0, 6.0, product, 1144
4.0, 4.0, 0.0027, 1.0, 6.0, product, 1211
4.0, 4.0, 0.0028, 1.0, 9.0, product, 1212
4.0, 4.0, 0.0027, 1.0, 9.0, product, 1213
4.0, 4.0, 0.0032, 1.0, 9.0, product, 1214
4.0, 4.0, 0.0046, 1.0, 6.0, product, 1221
4.0, 4.0, 0.0025, 0.0, 6.0, product, 1222
4.0, 4.0, 0.0022, 0.0, 6.0, product, 1223
4.0, 4.0, 0.0031, 0.0, 6.0, product, 1224
4.0, 4.0, 0.0043, 2.0, 9.0, product, 1231
4.0, 4.0, 0.0034, 1.0, 9.0, product, 1232
4.0, 4.0, 0.0028, 0.0, 6.0, product, 1233
4.0, 4.0, 0.0029, 0.0, 6.0, product, 1234
4.0, 4.0, 0.0041, 2.0, 9.0, product, 1241
4.0, 4.0, 0.0039, 1.0, 9.0, product, 1242
4.0, 4.0, 0.0039, 1.0, 9.0, product, 1243
4.0, 4.0, 0.0033, 0.0, 6.0, product, 1244
4.0, 4.0, 0.0033, 1.0, 6.0, product, 1311
4.0, 4.0, 0.0029, 2.0, 9.0, product, 1312
4.0, 4.0, 0.0032, 1.0, 9.0, product, 1313
4.0, 4.0, 0.0036, 1.0, 9.0, product, 1314
4.0, 4.0, 0.0025, 1.0, 6.0, product, 1321
4.0, 4.0, 0.0068, 1.0, 6.0, product, 1322
4.0, 4.0, 0.0027, 1.0, 9.0, product, 1323
4.0, 4.0, 0.0026, 1.0, 9.0, product, 1324
4.0, 4.0, 0.0032, 1.0, 6.0, product, 1331
4.0, 4.0, 0.0028, 1.0, 6.0, product, 1332
4.0, 4.0, 0.0022, 0.0, 6.0, product, 1333
4.0, 4.0, 0.0026, 0.0, 6.0, product, 1334
4.0, 4.0, 0.0027, 2.0, 9.0, product, 1341
4.0, 4.0, 0.0024, 2.0, 9.0, product, 1342
4.0, 4.0, 0.0022, 1.0, 9.0, product, 1343
4.0, 4.0, 0.0018, 0.0, 6.0, product, 1344
4.0, 4.0, 0.0023, 1.0, 6.0, product, 1411
4.0, 4.0, 0.0022, 2.0, 9.0, product, 1412
4.0, 4.0, 0.0027, 2.0, 9.0, product, 1413
4.0, 4.0, 0.0037, 1.0, 9.0, product, 1414
4.0, 4.0, 0.0023, 1.0, 6.0, product, 1421
4.0, 4.0, 0.0026, 1.0, 6.0, product, 1422
4.0, 4.0, 0.0035, 2.0, 9.0, product, 1423
4.0, 4.0, 0.0034, 1.0, 9.0, product, 1424
4.0, 4.0, 0.0032, 1.0, 6.0, product, 1431
4.0, 4.0, 0.0027, 1.0, 6.0, product, 1432
4.0, 4.0, 0.0031, 1.0, 6.0, product, 1433
4.0, 4.0, 0.0029, 1.0, 9.0, product, 1434
4.0, 4.0, 0.0022, 1.0, 6.0, product, 1441
4.0, 4.0, 0.0018, 1.0, 6.0, product, 1442
4.0, 4.0, 0.0024, 1.0, 6.0, product, 1443
4.0, 4.0, 0.0019, 0.0, 6.0, product, 1444
4.0, 4.0, 0.0025, 1.0, 6.0, product, 2111
4.0, 4.0, 0.0029, 1.0, 6.0, product, 2112
4.0, 4.0, 0.0024, 1.0, 6.0, product, 2113
4.0, 4.0, 0.0023, 1.0, 6.0, product, 2114
4.0, 4.0, 0.0017, 1.0, 6.0, product, 2121
4.0, 4.0, 0.0029, 1.0, 9.0, product, 2122
